precision	0.7700636761107691
recall	0.8682467272604001
f1	0.8046084955311131
Metric		O	B-COURT	I-COURT	B-PETITIONER	I-PETITIONER	B-RESPONDENT	I-RESPONDENT	B-JUDGE	B-DATE	I-DATE	B-ORG	I-ORG	B-GPE	I-GPE	B-STATUTE	I-STATUTE	B-PROVISION	I-PROVISION	B-PRECEDENT	I-PRECEDENT	B-CASE_NUMBER	I-CASE_NUMBER	B-WITNESS	I-WITNESS	B-OTHER_PERSON	I-OTHER_PERSON
precision	0.9951906561319135	0.7222222222222222	0.6666666666666666	1.0	1.0	0.4	0.5	0.4	0.0	0.972972972972973	0.9411764705882353	0.7692307692307693	0.6716417910447762	0.7692307692307693	0.4166666666666667	0.9166666666666666	0.8804347826086957	0.9642857142857143	0.8771929824561403	0.8611111111111112	0.8641975308641975	0.9411764705882353	0.7090909090909091	1.0	1.0	0.7692307692307693	
recall	0.9513957307060755	0.8666666666666667	0.7692307692307693	1.0	1.0	1.0	0.25	1.0	0.0	1.0	1.0	0.8823529411764706	0.9782608695652174	0.8108108108108109	0.4166666666666667	0.9777777777777777	0.9759036144578314	1.0	1.0	0.9393939393939394	0.9621993127147767	1.0	1.0	0.8823529411764706	1.0	0.8928571428571429	
f1	0.9728005372733378	0.7878787878787877	0.7142857142857142	1.0	1.0	0.5714285714285715	0.3333333333333333	0.5714285714285715	0.0	0.9863013698630138	0.9696969696969697	0.8219178082191781	0.7964601769911505	0.7894736842105263	0.4166666666666667	0.946236559139785	0.9257142857142858	0.9818181818181818	0.9345794392523363	0.8985507246376813	0.910569105691057	0.9696969696969697	0.8297872340425533	0.9375	1.0	0.8264462809917357	
