precision	0.22795103398178213
recall	0.27920633256009686
f1	0.22897406844644833
Metric		O	B-COURT	I-COURT	B-PETITIONER	I-PETITIONER	B-RESPONDENT	I-RESPONDENT	B-JUDGE	I-JUDGE	B-LAWYER	I-LAWYER
precision	0.9160700079554495	0.3466981132075472	0.2485580389329488	0.043478260869565216	0.050746268656716415	0.29193548387096774	0.291640866873065	0.041666666666666664	0.06060606060606061	0.10495049504950495	0.1111111111111111	
recall	0.8754656732304418	0.6533333333333333	0.8272345530893821	0.0055658627087198514	0.018201284796573874	0.2556497175141243	0.24042879019908117	0.0029940119760479044	0.005305039787798408	0.10076045627376426	0.08633093525179857	
f1	0.8953077012790109	0.45300462249614787	0.3822591822591822	0.009868421052631578	0.026792750197005517	0.27259036144578314	0.26357022943480696	0.005586592178770949	0.009756097560975608	0.10281280310378273	0.097165991902834	
