precision	0.24050146593640898
recall	0.16861851863128877
f1	0.15858858923352764
Metric		O	B-COURT	I-COURT	B-PETITIONER	I-PETITIONER	B-RESPONDENT	I-RESPONDENT	B-JUDGE	I-JUDGE	B-DATE	I-DATE	B-ORG	I-ORG	B-GPE	I-GPE	B-STATUTE	I-STATUTE	B-PROVISION	I-PROVISION	B-PRECEDENT	I-PRECEDENT	B-CASE_NUMBER	I-CASE_NUMBER	B-WITNESS	I-WITNESS	B-OTHER_PERSON	I-OTHER_PERSON
precision	0.8977186488453854	0.6683417085427136	0.5975103734439834	0.04819277108433735	0.05311973018549747	0.0	0.0	0.3333333333333333	0.0	0.13333333333333333	0.07851239669421488	0.0935672514619883	0.08676470588235294	0.0	0.0	0.41846153846153844	0.4973821989528796	0.5214592274678111	0.5633802816901409	0.375	0.8743455497382199	0.0	0.0	0.0	0.0	0.15555555555555556	0.0975609756097561	
recall	0.9847604485219165	0.5298804780876494	0.254416961130742	0.28	0.5779816513761468	0.0	0.0	0.00909090909090909	0.0	0.00997506234413965	0.04834605597964377	0.057971014492753624	0.11346153846153846	0.0	0.0	0.3788300835654596	0.4134929270946681	0.5282608695652173	0.23154848046309695	0.0410958904109589	0.06990372540812055	0.0	0.0	0.0	0.0	0.014227642276422764	0.009456264775413711	
f1	0.939227235531934	0.591111111111111	0.35687732342007433	0.08223201174743025	0.0972972972972973	0.0	0.0	0.017699115044247787	0.0	0.018561484918793506	0.05984251968503937	0.07158836689038031	0.09833333333333331	0.0	0.0	0.3976608187134502	0.4515745692216281	0.5248380129589633	0.3282051282051282	0.07407407407407407	0.1294573643410853	0.0	0.0	0.0	0.0	0.0260707635009311	0.017241379310344827	
