precision	0.9039175133756024
recall	0.9062802286129311
f1	0.904620872745491
Metric		O	B-COURT	I-COURT	B-PETITIONER	I-PETITIONER	B-RESPONDENT	I-RESPONDENT	B-JUDGE	I-JUDGE	B-LAWYER	I-LAWYER
precision	0.9857351936774319	0.9147286821705426	0.9225617413143574	0.8357976653696498	0.8448403860430587	0.8205510052122115	0.8284235668789809	0.9798149705634988	0.9626288659793815	0.921461897356143	0.9265486725663716	
recall	0.9855044189086368	0.9711934156378601	0.9791203909373611	0.8124054462934948	0.7486842105263158	0.8091042584434655	0.8504290968532897	0.9798149705634988	0.9790301441677588	0.945730247406225	0.9080659150043365	
f1	0.9856197927845309	0.9421157684630739	0.95	0.8239355581127733	0.7938611789326823	0.8147874306839187	0.8392821133293004	0.9798149705634988	0.9707602339181286	0.9334383615596691	0.9172141918528252	
