precision	0.7863639667317041
recall	0.8896408541552632
f1	0.8257123772008919
Metric		O	B-COURT	I-COURT	B-PETITIONER	I-PETITIONER	B-RESPONDENT	I-RESPONDENT	B-JUDGE	B-DATE	I-DATE	B-ORG	I-ORG	B-GPE	I-GPE	B-STATUTE	I-STATUTE	B-PROVISION	I-PROVISION	B-PRECEDENT	I-PRECEDENT	B-CASE_NUMBER	I-CASE_NUMBER	B-WITNESS	I-WITNESS	B-OTHER_PERSON	I-OTHER_PERSON
precision	0.9897680763983628	0.8666666666666667	0.8125	1.0	1.0	0.6666666666666666	0.5714285714285714	0.4	0.0	1.0	0.9411764705882353	0.75	0.703125	0.7368421052631579	0.3	0.9777777777777777	0.9325842696629213	0.9310344827586207	0.8620689655172413	0.8571428571428571	0.8625	0.8888888888888888	0.65	1.0	1.0	0.8103448275862069	
recall	0.9530377668308703	0.8666666666666667	0.6666666666666666	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.7941176470588235	0.9782608695652174	0.7567567567567568	0.5	0.9777777777777777	1.0	1.0	1.0	0.9090909090909091	0.9484536082474226	1.0	1.0	1.0	1.0	0.8392857142857143	
f1	0.9710557135686799	0.8666666666666667	0.7323943661971831	1.0	1.0	0.8	0.7272727272727273	0.5714285714285715	0.0	1.0	0.9696969696969697	0.7714285714285715	0.8181818181818182	0.7466666666666667	0.37499999999999994	0.9777777777777777	0.9651162790697675	0.9642857142857143	0.9259259259259259	0.8823529411764706	0.9034369885433715	0.9411764705882353	0.787878787878788	1.0	1.0	0.8245614035087718	
